,F0,F1,F2,F3,F4
138,9,0,3,8,5
139,4,4,1,7,7
140,5,6,0,6,3
141,0,9,6,0,0
142,0,2,1,1,6
143,2,1,5,2,1
144,7,1,5,6,8
145,9,0,6,1,8
146,5,2,4,9,0
147,9,3,1,1,1
148,4,7,3,1,2
149,3,0,2,0,3
150,6,6,0,4,6
151,8,5,9,3,2
152,6,0,7,6,2
153,2,7,8,8,3
154,3,4,9,7,7
155,1,1,0,4,3
156,2,7,4,5,6
157,2,5,2,6,4
158,5,6,2,9,3
159,2,9,3,5,5
160,7,7,2,5,1
161,6,8,2,5,2
162,0,1,3,2,7
163,1,4,5,6,4
164,1,4,2,8,0
165,8,2,0,4,7
166,0,4,4,5,6
167,9,8,6,9,7
168,8,9,0,0,8
169,9,7,2,1,7
170,7,1,1,0,7
171,3,6,0,8,1
172,5,3,1,8,4
173,4,4,6,2,5
174,0,4,2,8,9
175,0,8,0,7,2
176,0,3,2,4,4
177,9,8,1,1,8
178,8,7,1,7,2
179,0,6,5,7,2
180,0,3,5,5,6
181,2,3,5,4,2
182,1,9,8,0,5
183,8,9,6,4,9
184,7,8,3,0,8
185,6,1,3,5,6
186,7,4,8,2,6
187,1,1,5,0,2
188,1,1,6,5,8
189,9,0,2,3,5
190,7,9,8,6,5
191,1,1,9,2,1
192,2,4,7,2,5
193,6,3,2,5,6
194,0,1,8,4,0
195,1,6,2,6,7
196,1,8,9,5,1
197,8,2,4,7,0
198,5,0,8,3,3
199,7,7,5,0,1
200,2,6,3,6,4
201,2,4,8,9,8
202,1,0,2,0,0
203,2,9,6,2,3
204,9,6,0,9,8
205,0,2,5,7,3
206,9,0,1,7,9
207,9,7,1,4,0
208,4,4,2,0,8
209,2,9,4,8,8
210,9,7,8,2,1
211,9,3,2,4,6
212,2,6,1,1,8
213,6,4,5,4,4
214,7,9,6,2,6
215,8,2,7,0,7
216,4,1,1,4,9
217,2,7,3,0,5
218,5,1,3,8,5
219,7,6,4,7,4
220,2,1,5,8,8
221,7,3,4,6,5
222,4,4,8,6,6
223,4,1,1,6,7
224,7,2,1,2,3
225,7,1,0,0,7
226,7,6,8,1,5
227,9,3,7,1,6
228,4,0,8,3,1
229,0,7,4,6,3
230,4,3,7,0,2
231,5,1,8,8,6
232,1,6,0,8,5
233,9,3,6,6,3
234,1,8,7,8,4
235,0,1,5,0,8
236,3,1,7,3,5
237,5,6,3,0,0
238,8,5,2,3,1
239,9,8,7,1,2
240,9,5,8,7,2
241,1,6,0,9,4
242,5,9,6,6,7
243,7,4,6,5,8
244,0,0,7,4,3
245,5,6,3,0,0
246,3,1,7,4,4
247,8,0,9,6,0
248,9,9,2,5,9
249,2,4,6,7,8
250,2,8,6,0,7
251,4,3,9,3,8
252,1,5,7,0,4
253,3,8,9,8,0
254,4,6,3,7,1
255,8,6,2,0,7
256,6,9,1,8,7
257,8,9,3,4,3
258,2,3,4,0,2
259,9,8,0,6,6
260,2,4,7,8,5
261,9,6,5,9,2
262,1,5,2,0,8
263,9,8,7,7,5
264,9,6,8,0,8
265,0,5,8,8,2
266,8,7,0,5,8
267,2,7,7,1,2
268,7,9,1,7,3
269,3,1,5,8,6
270,4,3,0,8,9
271,3,2,8,4,8
272,7,4,4,7,7
273,4,7,4,6,6
274,5,7,1,8,1
275,5,8,7,8,6
276,8,9,8,3,0
277,6,0,8,2,4
278,6,7,5,1,6
279,9,5,6,9,2
280,6,4,2,5,4
281,2,3,5,7,5
282,1,6,5,1,6
283,3,6,5,9,0
284,2,8,9,8,2
285,7,0,4,9,8
286,2,0,6,6,5
287,1,8,5,5,5
288,5,7,0,7,1
289,5,0,8,9,8
290,5,2,0,3,7
291,3,7,6,0,7
292,2,4,8,0,9
293,9,1,7,6,3
294,5,2,9,0,3
295,5,5,9,0,4
296,6,3,2,4,6
297,6,2,2,0,1
298,4,3,3,2,7
299,6,3,5,6,7
300,5,6,7,9,4
301,6,2,2,9,2
302,7,9,9,8,8
303,0,5,8,6,6
304,6,9,1,3,3
305,3,7,4,4,1
306,2,9,4,8,5
307,4,3,4,8,2
308,4,7,8,8,7
309,2,8,4,7,0
310,9,9,2,6,9
311,2,4,4,6,7
312,2,0,6,3,2
313,1,9,5,2,7
314,1,1,0,8,7
315,8,1,4,1,5
316,7,6,6,3,1
317,9,9,7,1,0
318,9,0,9,8,3
319,6,6,4,4,5
320,8,9,1,5,2
321,6,3,9,0,3
322,9,2,6,6,5
323,0,0,7,0,0
324,2,9,6,9,2
325,2,3,5,1,4
326,4,2,7,3,2
327,5,1,2,2,9
328,5,9,3,7,5
329,7,9,3,0,2
330,3,9,6,7,4
331,8,5,1,7,4
332,5,4,5,8,7
333,6,4,8,9,6
334,0,4,3,9,7
335,2,3,6,9,7
336,8,1,3,8,9
337,6,8,6,3,3
338,7,9,9,8,5
339,7,9,4,4,2
340,5,0,3,6,7
341,8,5,7,7,9
342,9,4,0,1,2
343,2,2,8,6,9
344,8,0,5,2,8
345,4,6,2,2,6
346,5,1,9,9,9
347,0,8,6,5,0
348,0,3,7,8,9
349,2,7,8,2,9
350,0,9,6,3,7
351,8,3,3,4,2
352,0,7,1,2,0
353,0,0,7,7,9
354,3,2,4,1,5
355,5,3,1,7,4
356,1,9,9,0,8
357,3,7,4,7,8
358,7,7,3,3,3
359,3,6,6,6,7
360,2,0,3,4,6
361,7,5,8,4,1
362,0,6,2,0,2
363,3,3,9,9,6
364,9,4,3,9,4
365,1,1,8,8,3
366,3,0,0,2,3
367,6,2,0,4,0
368,5,4,7,2,3
369,2,1,9,5,1
370,5,6,0,3,6
371,0,0,5,1,7
372,1,5,3,6,8
373,0,9,2,7,8
374,8,1,9,0,4
375,7,7,8,5,2
376,6,8,4,8,8
377,4,7,5,5,1
378,1,5,1,6,7
379,2,5,4,2,7
380,1,8,7,3,6
381,6,9,0,2,5
382,4,6,1,5,2
383,9,0,2,8,4
384,0,9,1,3,7
385,9,7,5,2,8
386,0,1,0,1,4
387,6,2,1,3,2
388,5,8,8,5,4
389,4,8,5,4,3
390,9,3,8,8,7
391,7,7,6,7,1
392,6,4,8,8,2
393,9,9,9,4,2
394,0,4,7,9,5
395,0,2,2,5,6
396,3,0,0,5,8
397,6,9,5,0,9
398,5,6,8,2,1
399,7,0,3,0,6
400,2,3,1,3,9
401,0,7,8,8,9
402,3,7,7,3,7
403,3,5,7,6,9
404,8,1,9,8,2
405,0,3,8,0,6
406,3,9,9,2,2
407,4,2,0,0,9
408,1,2,0,7,5
409,0,4,5,3,4
410,2,6,0,2,5
411,0,9,6,2,4
412,2,8,1,9,7
413,9,2,6,8,6
414,6,5,0,8,7
415,2,2,8,7,1
416,2,8,6,5,7
417,1,9,4,1,0
418,9,7,6,5,6
419,7,4,4,7,0
420,8,1,5,4,0
421,5,3,4,0,3
422,9,0,9,5,9
423,8,2,1,0,4
424,3,8,9,3,5
425,5,4,9,2,3
426,7,6,8,9,4
427,5,0,7,6,6
428,0,1,2,6,2
429,6,1,3,8,2
430,2,1,9,5,0
431,5,8,9,8,5
432,7,0,8,2,9
433,8,1,2,6,1
434,9,6,0,8,6
435,5,4,0,6,2
436,8,7,1,2,5
437,2,1,9,6,7
438,6,1,0,1,6
439,2,1,0,8,3
440,1,6,0,6,3
441,5,7,3,2,1
442,1,4,9,3,5
443,5,5,2,0,5
444,6,1,8,8,2
445,4,0,5,3,5
446,9,1,7,9,7
447,0,7,3,3,3
448,5,8,9,1,3
449,1,2,0,6,5
450,3,2,8,4,2
451,3,2,1,9,2
452,6,9,0,6,2
453,1,0,5,5,0
454,8,8,0,0,0
455,5,7,1,2,6
456,4,7,8,4,4
457,3,2,9,4,2
458,3,5,8,6,3
459,1,1,2,9,5
460,0,1,2,0,6
461,9,1,7,8,1
462,9,1,1,3,5
463,7,9,8,1,9
464,1,7,7,6,4
465,2,8,8,3,6
466,0,6,1,1,3
467,9,6,1,6,0
468,3,6,3,7,5
469,0,6,6,9,1
470,2,1,8,5,3
471,7,8,3,4,1
472,0,4,3,2,5
473,8,3,1,8,5
474,7,4,7,9,1
475,4,9,3,2,9
476,3,9,5,7,4
477,9,9,1,1,6
478,3,1,6,1,3
479,3,8,7,1,5
480,1,0,6,5,7
481,2,7,1,3,0
482,9,7,2,7,7
483,4,0,2,1,0
484,3,4,5,2,8
485,8,8,2,9,8
486,7,9,4,5,9
487,3,4,6,4,9
488,1,8,2,4,1
489,0,6,7,8,0
490,7,6,7,6,4
491,3,4,3,3,0
492,2,4,1,1,2
493,1,6,2,1,4
494,7,2,7,6,2
495,2,7,9,4,6
496,5,9,1,6,8
497,0,6,6,7,2
498,7,0,7,0,1
499,7,0,0,3,6
500,2,4,0,6,4
501,4,3,2,6,0
502,5,3,1,8,2
503,9,5,4,9,9
504,6,1,4,2,3
505,0,7,3,7,2
506,3,9,4,5,3
507,9,4,5,1,8
508,1,5,3,7,0
509,8,6,5,9,9
510,1,1,2,8,6
511,4,1,3,1,2
512,6,8,6,5,1
513,0,5,8,0,9
514,2,1,4,3,2
515,6,1,1,4,2
516,0,0,0,0,2
517,9,0,3,6,4
518,9,9,8,9,6
519,8,1,3,6,9
520,0,4,8,7,2
521,1,3,4,7,6
522,7,9,5,2,0
523,8,5,3,1,9
524,9,7,0,9,7
525,3,5,4,9,7
526,7,0,7,9,8
527,8,3,8,4,0
528,5,4,1,8,4
529,8,4,4,4,5
530,3,8,4,4,6
531,6,2,7,7,6
532,6,9,8,0,6
533,6,2,9,8,2
534,2,6,6,3,0
535,7,2,8,6,9
536,1,0,1,3,5
537,2,5,0,7,0
538,2,1,6,3,6
539,6,6,9,6,4
540,8,7,4,6,2
541,4,9,2,5,6
542,3,8,5,6,9
543,0,7,3,1,3
544,8,2,6,7,6
545,7,5,8,4,4
546,1,5,1,1,2
547,9,5,0,5,6
548,6,3,4,5,1
549,4,9,0,4,9
550,0,2,6,6,6
551,6,6,2,9,4
552,5,4,1,1,5
553,0,0,5,8,5
554,2,6,4,0,6
555,6,2,0,9,3
556,9,4,8,2,8
557,3,7,5,5,9
558,4,3,4,2,0
559,5,7,0,6,3
560,9,2,7,8,7
561,9,0,3,3,9
562,3,1,1,7,1
563,5,0,5,3,4
564,3,3,4,5,7
565,0,8,2,1,3
566,0,5,5,7,6
567,2,8,8,2,6
568,9,2,9,1,2
569,8,7,5,7,8
570,3,5,9,3,2
571,0,3,3,4,0
572,6,5,1,7,5
573,1,9,2,9,6
574,3,8,5,3,7
575,9,2,4,2,0
576,5,1,7,0,8
577,7,2,0,7,6
578,6,1,3,8,9
579,0,6,5,8,7
580,9,7,8,5,6
581,3,9,0,8,8
582,5,7,7,5,3
583,4,8,1,1,0
584,8,7,6,7,5
585,7,8,8,1,5
586,3,5,8,3,9
587,7,5,4,8,2
588,0,5,8,7,7
589,3,5,6,5,4
590,8,7,9,3,9
591,2,7,5,4,7
592,2,6,0,2,5
593,4,9,8,4,5
594,8,3,3,9,1
595,4,6,4,9,4
596,2,9,1,7,5
597,4,3,1,6,3
598,1,2,4,3,3
599,9,5,9,4,1
600,2,3,5,6,2
601,4,8,2,3,2
602,6,6,9,4,4
603,6,9,1,0,7
604,5,1,9,2,7
605,6,0,3,5,3
606,0,4,4,0,7
607,5,4,1,9,5
608,3,7,4,2,9
609,2,3,4,5,1
610,8,1,5,3,6
611,3,8,3,2,4
612,2,0,8,5,5
613,1,0,0,2,5
614,2,9,1,8,8
615,9,1,8,2,0
616,0,2,9,6,2
617,8,4,1,5,2
618,3,0,0,4,6
619,3,6,3,8,8
620,9,7,1,5,7
621,6,9,0,4,6
622,0,2,0,7,0
623,6,3,5,5,2
624,9,5,0,4,2
625,3,3,1,2,4
626,1,9,6,7,9
627,2,6,1,5,1
628,7,8,7,8,1
629,7,2,5,5,6
630,2,0,7,0,6
631,2,8,2,9,9
632,4,1,6,7,4
633,0,0,4,8,6
634,8,4,3,1,0
635,1,0,0,5,9
636,5,8,3,4,3
637,9,4,6,3,9
638,3,5,2,7,3
639,9,7,9,2,5
640,5,0,0,1,5
641,2,3,9,0,6
642,8,7,8,0,3
643,1,6,6,1,6
644,9,6,3,2,5
645,2,4,7,0,2
646,1,4,2,9,9
647,1,2,6,3,1
648,5,8,7,8,5
649,1,3,3,2,3
650,7,3,1,4,7
651,2,4,4,5,6
652,1,1,7,5,4
653,8,6,4,2,4
654,0,2,7,1,0
655,4,1,7,1,4
656,8,7,7,0,2
657,0,7,3,2,2
658,8,4,2,3,2
659,6,5,0,5,4
660,6,6,5,7,7
661,2,5,3,8,2
662,1,0,6,7,6
663,7,8,2,1,2
664,2,7,9,1,4
665,7,8,4,1,1
666,1,0,1,2,6
667,0,5,2,2,8
668,5,9,4,2,1
669,2,6,6,6,2
670,2,7,5,8,8
671,6,6,0,9,5
672,7,5,8,5,0
673,3,0,5,4,7
674,1,7,4,1,7
675,9,4,8,2,9
676,2,5,3,2,0
677,8,5,5,0,0
678,4,9,1,3,5
679,3,4,6,1,2
680,8,9,4,4,3
681,9,6,5,2,4
682,8,7,1,9,4
683,0,6,7,8,4
684,2,1,5,1,4
685,4,2,4,4,2
686,6,9,7,3,0
687,9,1,5,0,4
688,8,6,4,6,9
689,2,8,5,2,3
690,6,0,3,5,3
691,0,2,5,7,4
692,3,9,1,8,1
693,6,9,3,5,8
694,7,2,0,1,4
695,8,7,8,7,7
696,6,9,7,8,7
697,3,1,6,3,7
698,5,3,6,3,6
699,1,0,6,5,9
700,9,2,9,8,1
701,0,5,6,8,4
702,7,3,1,4,1
703,7,3,0,9,7
704,0,4,8,5,5
705,0,5,6,1,0
706,2,1,1,4,8
707,6,1,7,5,1
708,3,5,6,6,6
709,8,2,4,0,3
710,9,3,2,6,1
711,6,9,0,8,9
712,1,9,6,9,4
713,3,2,2,7,9
714,7,3,3,5,0
715,2,2,8,2,8
716,7,7,0,9,1
717,2,2,0,0,9
718,9,1,7,5,3
719,7,4,3,3,5
720,5,2,0,2,8
721,9,4,3,6,1
722,9,6,5,8,5
723,3,9,5,0,1
724,4,8,8,3,7
725,7,1,6,0,5
726,0,5,0,3,8
727,3,5,2,4,7
728,5,7,9,5,7
729,2,4,7,1,9
730,3,1,2,8,8
731,6,2,0,5,5
732,6,1,1,3,9
733,1,9,2,2,4
734,7,5,8,8,3
735,6,2,9,8,6
736,9,7,5,9,9
737,0,9,0,7,8
738,2,5,2,0,9
739,2,1,8,3,5
740,6,8,8,7,9
741,1,7,9,6,9
742,7,0,8,6,1
743,8,3,6,3,9
744,3,8,8,9,6
745,3,3,9,1,3
746,4,6,3,8,9
747,7,1,4,7,2
748,8,9,5,8,5
749,2,8,6,9,7
750,0,4,5,2,8
751,4,8,0,1,2
752,1,9,3,0,6
753,5,4,2,1,7
754,3,3,7,6,4
755,4,1,2,0,7
756,9,7,6,5,1
757,5,8,3,7,0
758,5,1,8,0,3
759,6,2,8,7,8
760,8,6,3,5,2
761,8,2,0,7,7
762,2,8,8,3,5
763,8,2,0,8,1
764,8,2,2,6,5
765,6,4,8,3,1
766,2,0,9,8,1
767,7,6,2,7,3
768,0,7,4,7,0
769,6,3,6,4,9
770,6,5,9,2,1
771,5,1,0,1,6
772,8,1,9,9,9
773,1,5,9,8,3
774,9,3,5,0,5
775,0,4,0,0,6
776,0,3,3,1,3
777,7,4,0,1,8
778,6,4,9,6,8
779,2,3,0,7,5
780,9,9,7,5,8
781,3,9,3,3,0
782,7,0,4,4,5
783,5,4,0,0,9
784,2,2,5,1,9
785,3,8,3,6,8
786,7,3,8,3,3
787,7,2,9,1,5
788,2,2,2,8,3
789,7,1,0,8,9
790,3,5,1,6,4
791,5,6,1,1,3
792,2,6,0,4,0
793,5,2,9,8,9
794,8,3,6,3,0
795,2,0,5,4,0
796,4,4,7,3,3
797,1,7,4,5,2
798,3,9,0,2,6
799,4,5,0,1,6
800,9,2,2,7,9
801,2,6,8,0,4
802,6,5,5,4,0
803,3,3,3,8,5
804,9,3,6,5,2
805,2,2,1,6,1
806,4,4,8,6,8
807,5,6,1,4,5
808,8,3,0,6,1
809,8,8,9,3,1
810,6,7,9,3,2
811,1,0,2,9,2
812,0,6,1,3,2
813,5,0,5,8,5
814,6,8,8,9,3
815,9,9,3,1,8
816,2,6,7,2,2
817,2,3,4,3,2
818,4,4,8,8,3
819,0,2,2,7,6
820,6,1,7,5,5
821,6,2,3,1,4
822,1,0,7,3,4
823,4,4,5,3,0
824,8,2,6,7,7
825,8,1,1,8,8
826,5,9,5,1,0
827,2,6,3,6,6
828,5,3,8,7,1
829,8,8,8,8,9
830,5,0,5,2,9
831,9,7,4,7,6
832,1,1,6,2,6
833,6,9,8,4,9
834,5,8,2,0,1
835,0,1,9,9,2
836,6,2,9,6,7
837,4,6,6,9,4
838,0,6,3,6,0
839,7,6,4,5,1
840,4,2,2,6,2
841,2,0,7,0,2
842,7,4,9,1,0
843,6,2,4,3,2
844,1,1,2,5,7
845,0,3,4,2,6
846,4,9,9,9,9
847,0,1,8,4,6
848,7,9,6,0,7
849,4,1,1,3,1
850,5,1,6,8,1
851,6,1,1,7,2
852,7,9,4,9,0
853,7,2,0,1,0
854,6,6,0,2,4
855,5,3,8,8,5
856,6,4,2,9,2
857,6,1,1,2,2
858,8,5,9,9,3
859,3,6,8,7,5
860,3,9,0,7,2
861,8,2,2,4,6
862,1,6,4,2,5
863,8,4,2,8,2
864,9,5,7,1,5
865,7,3,7,0,2
866,6,7,9,6,0
867,4,8,4,8,5
868,8,8,5,8,4
869,7,5,8,9,2
870,8,6,8,3,0
871,5,4,0,4,2
872,0,8,3,4,4
873,7,3,3,3,3
874,8,4,2,7,7
875,4,3,3,2,1
876,2,0,3,3,4
877,3,1,6,3,0
878,1,0,1,3,2
879,9,4,7,9,8
880,0,9,6,1,0
881,4,5,5,8,9
882,5,3,0,7,2
883,8,3,7,0,8
884,5,5,6,6,4
885,0,7,2,8,9
886,7,4,8,0,4
887,9,1,9,2,3
888,9,2,8,4,5
889,2,9,3,8,6
890,3,5,9,5,8
891,6,4,9,3,4
892,9,3,5,7,0
893,3,4,0,7,0
894,0,4,1,0,8
895,7,0,1,5,2
896,3,5,4,7,4
897,8,6,8,4,2
898,2,9,8,9,2
899,3,5,7,4,8
900,9,2,1,8,4
901,6,7,9,5,3
902,9,6,9,6,3
903,8,5,0,8,3
904,9,9,5,7,4
905,2,0,7,2,1
906,2,8,4,2,1
907,2,5,1,2,9
908,3,5,3,1,7
909,4,4,4,5,9
910,4,3,6,8,3
911,1,3,7,3,7
912,1,8,2,9,1
913,5,8,7,8,3
914,0,5,4,1,3
915,9,6,8,3,5
916,2,3,8,9,1
917,9,2,3,0,5
918,3,1,5,6,9
919,9,9,2,0,0
920,6,1,4,3,5
921,0,2,7,7,6
922,9,7,9,6,6
923,5,1,0,8,6
924,5,6,7,2,5
925,1,5,0,0,1
926,7,4,6,8,5
927,0,5,5,7,9
928,8,3,6,8,1
929,4,1,1,0,9
930,4,6,3,7,3
931,1,2,0,9,9
932,9,6,1,6,6
933,8,7,8,2,2
934,8,9,6,3,8
935,6,1,3,0,0
936,5,2,2,3,6
937,3,0,4,3,2
938,0,0,8,8,7
939,9,1,0,5,3
940,1,2,2,4,6
941,5,1,2,2,7
942,7,8,0,8,5
943,4,3,0,7,1
944,9,9,7,7,0
945,8,5,0,9,5
946,6,6,6,4,3
947,7,5,0,7,7
948,2,7,7,5,5
949,4,7,1,5,5
950,8,7,5,8,9
951,8,3,4,5,4
952,3,5,0,7,2
953,8,3,8,3,4
954,2,1,6,4,6
955,6,4,3,1,0
956,9,8,6,4,1
957,6,2,6,2,1
958,5,9,9,6,4
959,1,5,4,6,1
960,2,4,8,6,8
961,3,6,3,6,9
962,5,4,6,8,8
963,8,8,5,1,0
964,8,4,3,1,6
965,1,6,4,4,1
966,8,2,8,8,2
967,1,1,0,1,4
968,1,2,7,0,0
969,6,9,3,4,7
970,9,6,7,3,9
971,5,9,7,0,4
972,2,6,9,1,3
973,9,2,4,9,7
974,2,8,7,5,9
975,5,8,6,6,2
976,1,1,6,0,0
977,7,9,9,5,3
978,9,0,8,0,5
979,1,0,4,8,7
980,3,5,1,7,6
981,5,9,3,5,8
982,3,3,2,2,3
983,8,5,3,6,3
984,9,4,5,6,3
985,5,9,3,9,9
986,6,2,2,5,3
987,8,9,7,2,8
988,4,9,9,8,8
989,9,8,9,7,7
990,4,2,9,2,7
991,1,5,1,3,3
992,5,9,8,6,7
993,7,8,5,8,1
994,0,0,0,5,8
995,3,3,1,3,3
996,2,9,1,6,0
997,9,1,7,1,6
998,0,9,0,3,8
999,4,7,0,1,6
1000,5,8,4,3,4
1001,0,4,6,1,0
1002,4,4,9,2,7
1003,0,0,2,8,6
1004,0,0,7,2,0
1005,1,6,6,8,5
1006,2,4,4,7,5
1007,7,7,4,5,2
1008,7,2,8,3,7
1009,5,2,6,8,8
1010,8,1,5,1,8
1011,8,8,3,2,2
1012,9,0,1,9,8
1013,8,9,6,0,8
1014,7,8,7,6,5
1015,5,9,1,6,2
1016,6,1,5,4,2
1017,9,5,9,3,1
1018,3,8,5,4,5
1019,5,1,2,2,0
1020,4,7,8,7,6
1021,5,2,4,2,5
1022,5,9,3,6,9
1023,9,7,0,9,2
1024,7,6,1,7,9
1025,2,3,1,4,1
1026,8,7,3,5,2
1027,3,3,9,4,8
1028,2,9,3,5,6
1029,8,0,8,0,0
1030,7,6,2,2,1
1031,4,7,4,5,8
1032,7,1,1,3,8
1033,6,1,8,1,7
1034,7,4,0,1,8
1035,2,3,5,3,4
1036,3,5,5,6,5
1037,5,0,3,3,7
1038,6,6,7,3,8
1039,2,6,2,8,1
1040,5,0,9,6,0
1041,0,7,5,1,6
1042,8,0,9,5,0
1043,6,2,4,0,0
1044,7,4,6,1,9
1045,9,1,8,0,7
1046,9,2,0,8,8
1047,2,3,1,8,2
1048,4,3,4,4,8
1049,0,4,2,6,0
1050,3,1,1,5,5
1051,9,2,1,4,0
1052,7,1,1,7,5
1053,8,2,2,9,6
1054,6,9,9,5,1
1055,8,7,7,9,2
1056,4,5,6,1,6
1057,0,7,4,1,7
1058,3,1,8,6,5
1059,7,4,9,6,7
1060,1,8,2,9,8
1061,3,8,5,6,3
1062,1,8,9,9,4
1063,4,0,6,2,9
1064,5,0,4,9,0
1065,2,8,8,6,9
1066,1,0,4,0,0
1067,1,4,3,5,3
1068,5,8,6,2,4
1069,1,5,0,2,0
1070,0,7,5,9,7
1071,4,1,1,3,1
1072,3,5,7,1,8
1073,6,8,1,0,8
1074,2,4,3,7,0
1075,8,8,5,8,4
1076,8,3,1,6,9
1077,4,8,7,4,9
1078,6,8,0,2,9
1079,2,0,3,1,7
1080,7,3,4,7,3
1081,3,3,2,6,3
1082,5,3,8,5,3
1083,6,4,2,1,8
1084,7,0,8,3,9
1085,0,1,7,4,8
1086,1,7,2,6,3
1087,8,7,6,0,4
1088,4,7,8,3,4
1089,6,6,8,1,4
1090,8,1,2,0,6
1091,3,4,9,5,5
1092,7,7,5,9,9
1093,7,6,1,5,9
1094,5,3,3,6,3
1095,6,2,2,1,4
1096,9,2,7,4,4
1097,4,2,2,1,6
1098,3,2,3,0,9
1099,7,1,0,3,3
1100,6,6,9,2,0
1101,5,0,4,5,4
1102,2,0,1,9,9
1103,0,4,7,3,7
1104,5,0,1,8,5
1105,0,4,7,8,9
1106,3,3,8,4,3
1107,6,0,8,3,1
1108,8,8,1,1,6
1109,1,4,2,4,0
1110,9,4,0,0,1
1111,0,6,4,8,9
1112,6,6,2,8,0
1113,4,7,7,2,9
1114,6,9,0,8,6
1115,5,9,1,2,0
1116,2,1,6,9,1
1117,8,6,9,5,1
1118,5,1,8,9,0
1119,1,7,6,9,0
1120,1,8,4,4,3
1121,9,5,0,2,4
1122,1,0,3,8,6
1123,1,7,5,8,1
1124,3,0,8,5,3
1125,4,5,5,4,1
1126,0,3,0,2,3
1127,0,8,9,1,1
1128,6,2,7,4,9
1129,4,8,2,8,6
1130,2,8,2,7,3
1131,4,0,9,9,7
1132,0,2,7,4,1
1133,5,3,1,2,7
1134,5,5,1,2,1
1135,3,1,4,4,6
1136,0,5,5,7,9
1137,6,3,7,2,6
1138,1,6,2,5,0
1139,5,9,1,4,1
1140,4,8,9,3,9
1141,1,8,2,3,7
1142,7,5,6,3,7
1143,2,0,0,0,6
1144,5,3,6,7,5
1145,0,8,5,2,1
1146,6,5,3,6,2
1147,8,5,3,0,6
1148,5,1,8,2,9
1149,2,6,7,4,0
1150,3,9,3,8,0
